id,name,subject,status
KC001,January Newsletter - New Year New Wardrobe,"New Year, New Wardrobe: Our Top Picks for 2026",sent
KC002,February - Valentine's Day Gift Guide,Gifts They'll Actually Love (From $28),sent
KC003,March - Spring Collection Launch,Spring Is Here: Shop the New Collection,sent
KC004,April - Resort Wear Reminder,Still 22% Off â€” Resort Wear Won't Last,sent
KC005,May Newsletter - Memorial Day Weekend,Memorial Day Weekend: 20% Off Sitewide,sent
KC006,June - Summer Must-Haves,"Summer Essentials: Shorts, Tanks & More",sent
KC007,June - Sweater Price Adjustment Notice,Upgraded Craftsmanship: Our Sweater Collection,sent
KC008,July Newsletter - Mid-Season Picks,Mid-Season Edit: What We're Wearing Right Now,sent
KC009,August - Fall Preview,First Look: Fall 2026 Collection,sent
KC010,September - Cargo Pants Feature,The Cargo Pant Everyone's Talking About,sent
KC011,October - Fall Outerwear,Your Fall Jacket Is Waiting,sent
KC012,November - Early Black Friday Access,VIP Early Access: 25% Off Starts Now,sent
KC013,November - Black Friday Launch,IT'S HERE: Up to 40% Off + Free Shipping,sent
KC014,December - Holiday Gift Guide,The Northwind Gift Guide: Perfect Picks for Everyone,sent
KC015,December - Last Shipping Day,ORDER BY MIDNIGHT: Last Day for Holiday Delivery,sent
