id,campaign_id,adset_id,name,status
AD001,MC001,AS001,Lifestyle_Spring_V1,ACTIVE
AD002,MC001,AS001,Lifestyle_Fall_V1,ACTIVE
AD003,MC002,AS002,SS26_Collection_Carousel,ACTIVE
AD004,MC002,AS002,SS26_Collection_Video,ACTIVE
AD005,MC002,AS003,SS26_New_Arrivals_Static,ACTIVE
AD006,MC003,AS004,Fall26_Outerwear_Carousel,ACTIVE
AD007,MC003,AS004,Fall26_Sweaters_Static,ACTIVE
AD008,MC003,AS005,Fall26_Heritage_Jacket_Video,ACTIVE
AD009,MC004,AS006,Cart_Recovery_Dynamic,ACTIVE
AD010,MC004,AS006,Cart_Recovery_Discount,ACTIVE
AD011,MC004,AS007,Product_Retarget_Dynamic,ACTIVE
AD012,MC005,AS008,BFCM_Sale_Announcement,ACTIVE
AD013,MC005,AS008,BFCM_Countdown_Video,ACTIVE
AD014,MC005,AS008,BFCM_Best_Sellers_Carousel,ACTIVE
AD015,MC005,AS009,BFCM_Cart_Abandoners,ACTIVE
AD016,MC006,AS010,Holiday_Gift_Guide_Carousel,ACTIVE
AD017,MC006,AS010,Holiday_Gifting_Static,ACTIVE
AD018,MC007,AS011,NewYear_Essentials_Static,ACTIVE
AD019,MC008,AS012,Valentines_Gift_Ideas,ACTIVE
AD020,MC009,AS013,ResortWear_Launch_Video,ACTIVE
AD021,MC009,AS013,ResortWear_Collection_Carousel,ACTIVE
AD022,MC010,AS014,BTS_Essentials_Carousel,ACTIVE
AD023,MC010,AS014,BTS_Bundle_Offer,ACTIVE
